run_id,n_agents,coupling,seed_index,init_seed,final_r1,final_r2,final_r3,mean_r1,mean_r2,mean_r3,t_r1_gt_0.5,t_r1_gt_0.9,early_growth_r1,mean_activity,mean_p_stay_emp,mean_tau_social,omega_coll,mean_omega,omega_coll_predicted,engine_residual
N17_K+0.08_s1,17,0.08,1,2026089510,0.614634715747878,0.7115040947649189,0.3739892389867788,0.6634845199205275,0.5134487860270336,0.4678215400950759,15.0,nan,0.08028931148202131,0.9794117647058823,0.020588235294117647,0.12058823529411765,0.009647058823529397,8.163404592832033e-19,0.009647058823529411,-1.3877787807814457e-17
N17_K+0.08_s2,17,0.08,2,2026089520,0.7062716756111105,0.5247641868316794,0.6819886747159705,0.5606448611888798,0.40752950255139175,0.4037600694146279,47.0,nan,0.015195930387536796,0.9876470588235294,0.012352941176470587,0.09823529411764706,0.007858823529411777,8.163404592832033e-19,0.007858823529411765,1.214306433183765e-17
N17_K+0.08_s3,17,0.08,3,2026089530,0.7195582469188525,0.6482693360185147,0.7301196018684314,0.5759624327396848,0.5195951235126839,0.521304286524917,7.0,nan,0.051541173553441726,0.9729411764705882,0.027058823529411764,0.08823529411764706,0.007058823529411793,8.163404592832033e-19,0.007058823529411766,2.688821387764051e-17
N17_K+0.08_s4,17,0.08,4,2026089540,0.7474507628187134,0.4580015018407905,0.4846941508072077,0.5331758382649581,0.5047468139917818,0.4402999557289388,27.0,nan,-0.0832019953729988,0.9782352941176471,0.02176470588235294,-0.0029411764705882353,-0.00023529411764707168,8.163404592832033e-19,-0.00023529411764705802,-1.3660947373317356e-17
N17_K+0.08_s5,17,0.08,5,2026089550,0.748108819510806,0.6203189077702257,0.5822058704286652,0.6591471866600327,0.5146506710590298,0.5059626341568982,10.0,nan,0.0755909984587729,0.9682352941176471,0.03176470588235294,0.1011764705882353,0.008094117647058877,8.163404592832033e-19,0.008094117647058825,5.204170427930421e-17
N17_K+0.15_s0,17,0.15,0,2026089570,0.8006245408714008,0.7284366194023978,0.43192176870578824,0.7704603772714352,0.6380462643512648,0.5531960953234731,6.0,85.0,0.11462796385736856,0.9752941176470589,0.024705882352941175,0.23529411764705882,0.03529411764705883,8.163404592832033e-19,0.03529411764705882,6.938893903907228e-18
N17_K+0.15_s1,17,0.15,1,2026089580,0.7763842721430948,0.661814541616247,0.442068917460093,0.7383427204670626,0.6437740644910076,0.5687102346053187,6.0,nan,0.09018930175808441,0.9741176470588235,0.02588235294117647,0.2529411764705882,0.03794117647058824,8.163404592832033e-19,0.037941176470588235,6.938893903907228e-18
N17_K+0.15_s2,17,0.15,2,2026089590,0.7389092983860539,0.6397573473843264,0.4806253642897174,0.6668017484203723,0.480683204071074,0.42146234027124607,13.0,nan,0.10791049210627843,0.9770588235294118,0.022941176470588236,0.1723529411764706,0.025852941176470617,8.163404592832033e-19,0.02585294117647059,2.7755575615628914e-17
N17_K+0.15_s3,17,0.15,3,2026089600,0.8058117107163018,0.5437823004197799,0.4434690090390698,0.6846947728063513,0.5466442773093864,0.5172420041938135,21.0,nan,0.05312565705883866,0.9841176470588235,0.01588235294117647,0.15588235294117647,0.023382352941176496,8.163404592832033e-19,0.02338235294117647,2.7755575615628914e-17
N17_K+0.15_s4,17,0.15,4,2026089610,0.5332421545376166,0.4807903933757263,0.5391359822243981,0.7282932545534624,0.5224534720847434,0.40102011389068487,3.0,nan,0.04182063866996764,0.9841176470588235,0.01588235294117647,0.20176470588235293,0.030264705882352944,8.163404592832033e-19,0.030264705882352937,6.938893903907228e-18
N17_K+0.15_s5,17,0.15,5,2026089620,0.7042133314495939,0.6438328949107142,0.6684184182975014,0.6892518538261388,0.5127321122551652,0.4860572312857868,6.0,nan,0.11725783511893156,0.9752941176470589,0.024705882352941175,0.17294117647058824,0.02594117647058826,8.163404592832033e-19,0.025941176470588235,2.42861286636753e-17
