representation,scheme,d_shape,d_native,local_density,u_ensemble,d_orientation,policy_a,g_peer,e_tv
centers_24_standard,leave_one_profile_out,0.5826444752673354,0.0,1.7163125069385905,0.0,0.23914238170578692,0.0,0,0.31937330603506753
centers_24_standard,leave_one_profile_out,0.5826443600522191,0.0,1.7163128463311232,0.0,0.26111173406856947,0.0,0,0.4932209450937651
centers_24_standard,leave_one_profile_out,0.0024369463197334677,0.14127285591313193,410.34962153346544,0.0,0.42052423099839237,1.0,0,0.31076764608386176
centers_24_standard,leave_one_profile_out,0.0019532568750283835,0.14127393776288127,511.96543208658545,0.0,0.3901686844964845,1.0,0,0.5562127620641437
centers_24_standard,leave_one_profile_out,0.0023319800868294425,0.1412719887865414,428.8201282883161,0.0,0.378569620643015,1.0,0,0.5206326403195156
centers_24_standard,leave_one_profile_out,0.009686301472179075,0.14127236410184452,103.23857902546114,0.0,0.3686236691638368,1.0,0,0.4750502202082795
centers_24_standard,leave_one_profile_out,0.021594929927781777,0.14127468856458228,46.307165771976166,0.0,0.3993680958741443,1.0,0,0.5161178933890536
centers_24_standard,leave_one_profile_out,0.06336615293824815,0.033353895683161335,15.781295749081124,0.0,0.35677394099533843,1.0,0,0.5473087726571151
centers_24_standard,leave_one_profile_out,0.0816200741631383,0.060389485499863026,12.251887911805225,0.0,0.41520387910327694,1.0,0,0.37971310786268186
centers_24_standard,leave_one_profile_out,0.0841108261610956,0.031064254453990747,11.88907594469138,0.0,0.34543725725334773,1.0,0,0.5265958620195614
centers_24_standard,leave_one_profile_out,0.15538949940623994,0.14127199075740202,6.435441286709256,0.0,0.4301302806026366,1.0,0,0.5368607763127724
centers_24_standard,leave_one_profile_out,0.17247047960026016,0.14127212903312747,5.798093693006067,0.0,0.3250386593342811,1.0,0,0.4623440319343508
centers_24_standard,leave_one_profile_out,0.08162007416314043,0.03106425445399013,12.251887911804904,0.0,0.33447886638319313,1.0,0,0.45581449858172635
centers_24_standard,leave_one_profile_out,0.07790414710482015,0.06038948549986101,12.836287119022028,0.0,0.3655100035594181,1.0,0,0.4460358474081435
centers_24_standard,leave_one_profile_out,0.062111298652915044,0.0333538956831592,16.100130277232054,0.0,0.32987697274976074,1.0,0,0.46028248823350837
centers_24_standard,leave_one_profile_out,0.02628279408687322,0.1412743626225307,38.04770515245348,0.0,0.4440636927849727,1.0,0,0.1679408696804323
centers_24_standard,leave_one_profile_out,0.0074926171174947214,0.1412735665492456,133.46471390685,0.0,0.4318154508349832,1.0,0,0.2506601767915459
centers_24_standard,leave_one_profile_out,0.0028855545366177006,0.1412723558249678,346.55383819990067,0.0,0.3380063765839362,1.0,0,0.32453197374799736
centers_24_standard,leave_one_profile_out,0.0017075679211354393,0.14127466214630247,585.6282421463239,0.0,0.3301318357696353,1.0,0,0.37085412960369857
centers_24_standard,leave_one_profile_out,0.0023319800868283704,0.14127199449563393,428.8201282885132,0.0,0.37219276775442156,1.0,0,0.5359624051264231
centers_24_standard,leave_one_profile_out,0.002331980086828371,0.14127199449563424,428.82012828851316,0.0,0.39082870914168216,1.0,0,0.23153611708076555
centers_24_standard,leave_one_profile_out,0.0017075679211353838,0.14127466214630272,585.6282421463429,0.0,0.40553062442098214,1.0,0,0.4766837811226518
centers_24_standard,leave_one_profile_out,0.0028855545366177006,0.1412723558249677,346.55383819990067,0.0,0.3521685862087797,1.0,0,0.3328803689099076
centers_24_standard,leave_one_profile_out,0.0074926171174972125,0.14127356654924553,133.4647139068056,0.0,0.3687604691764782,1.0,0,0.2899812568804945
centers_24_standard,leave_one_profile_out,0.02628279408687322,0.14127436262253065,38.04770515245348,0.0,0.4440636927849721,1.0,0,0.374362957672409
centers_24_standard,leave_one_profile_out,0.062111298652915044,0.03335389568316127,16.100130277232054,0.0,0.36768298990890985,1.0,0,0.39448721399543096
centers_24_standard,leave_one_profile_out,0.07790414710481586,0.06038948549986321,12.836287119022733,0.0,0.4433653431474483,1.0,0,0.5893907881600734
centers_24_standard,leave_one_profile_out,0.08162007416314043,0.031064254453990824,12.251887911804904,0.0,0.35394413667760977,1.0,0,0.7646351193827106
centers_24_standard,leave_one_profile_out,0.17247047960026338,0.1412721290331279,5.798093693005959,0.0,0.38223226634503826,1.0,0,0.4248414736936687
centers_24_standard,leave_one_profile_out,0.15538949940624458,0.14127199075740193,6.4354412867090645,0.0,0.3286759664468235,1.0,0,0.47168498755075444
centers_24_standard,leave_one_profile_out,0.08411082616110131,0.031064254453990157,11.889075944690571,0.0,0.3419876246085565,1.0,0,0.633733862650764
centers_24_standard,leave_one_profile_out,0.08162007416313363,0.06038948549986073,12.251887911805925,0.0,0.37514672216988837,1.0,0,0.4127414931550559
centers_24_standard,leave_one_profile_out,0.06336615293825136,0.03335389568315914,15.781295749080327,0.0,0.3347607693513191,1.0,0,0.2228080167310126
centers_24_standard,leave_one_profile_out,0.021594929927783203,0.14127468856458242,46.307165771973104,0.0,0.352536995843048,1.0,0,0.21986189158526248
centers_24_standard,leave_one_profile_out,0.009686301472181236,0.1412723641018444,103.2385790254381,0.0,0.36862366916383527,1.0,0,0.16821986386589327
centers_24_standard,leave_one_profile_out,0.0023319800868294425,0.14127198878654107,428.8201282883161,0.0,0.3686599809722993,1.0,0,0.2907235267200956
centers_24_standard,leave_one_profile_out,0.0019532568750283484,0.1412739377628815,511.96543208659466,0.0,0.37137146169239377,1.0,0,0.46489332765610675
